video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=cee0fWTbjds&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@SocialSamyWalks,Social Samy Walks,Da Nang City Center Is BUSY in 2026 – Walking to Han Market,2.1K,12 hours,"Da Nang City Center Walk 2026 | Hai Chau to Han Market Today we're walking through Hai Chau District, the touristy city ...",2026-01-21 23:14:52.588861
/watch?v=v9a_eXBE1Hs&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@adellecerna,Adelle,"2 Days in Da Nang, Vietnam 🇻🇳 (cafes, shopping, beach, river)",1.2K,11 hours,"Spend 2 days in Da Nang, Central Vietnam with me In this video, I explore the city through cafés, shopping, the beach, and ...",2026-01-21 23:14:52.590426
/watch?v=IOapDcIP-p8&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@myertravels,Myer Travels,Da Nang Vietnam Is More Than Just A Getaway,3.8K,13 hours,"Da Nang is often seen as Vietnam's beach city — resorts, and a getaway by the sea. But this travel vlog goes beyond the tourist ...",2026-01-21 23:14:52.591701
/watch?v=Gt2FMVhnNk4&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@project_where,Justin & Alina,We Visited the Miami of Vietnam - Danang 🇻🇳 (Most Livable City!),254K,1 year,#vietnam #ViệtNam #danang #danangvietnam #travelcouple 00:00 We've made it to Danang! 01:08 Trying Salted Coffee - does it ...,2026-01-21 23:14:52.592972
/watch?v=AYp034J36w0&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@realcoolvision,CoolVision,DA NANG - The Best City in Vietnam for Expats,761K,6 months,"Discover why Da Nang is considered the best city in Vietnam for expats! In this video. From the low cost of living in Da Nang, to the ...",2026-01-21 23:14:52.595065
/watch?v=3Zl8DJlUPfg&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@YadVenturess,Yad Ventures,FIRST TIME in Da Nang Vietnam 🇻🇳 | SHOCKED at How Cheap It Is Here,18K,3 weeks,Get your Holafly eSIM discount here: https://holafly.sjv.io/raV3ov FIRST TIME in Da Nang Vietnam | CHEAPEST City in ...,2026-01-21 23:15:01.906199
/watch?v=VnVK4LS-s-4&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@TheDufresnes,The Dufresnes,BIG Channel Update from Da Nang Beach! What's Changing & Where We're Going Next,1.2K,22 hours,"BIG Channel Update from Da Nang Beach! We're walking along the beautiful shores of Da Nang, Vietnam to share some exciting ...",2026-01-21 23:15:01.910238
/watch?v=T4IcTq9YQ8Y&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW3SBwkJhwoBhyohjO8%3D,/@WanderlustWellman,Wanderlust Wellman,"The ULTIMATE Da Nang, Vietnam Travel Guide - Things to Do, Where to Stay, & More!",45K,3 months,"This is how to travel Da Nang, Vietnam! In my travel guide I cover where to stay, things to do, day trips, where to eat, and even ...",2026-01-21 23:15:01.913429
/watch?v=Z8cQDARqiYk&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW3SBwkJhwoBhyohjO8%3D,/@IslandHopperTV,Island Hopper TV,Những điều tốt nhất nên làm ở Đà Nẵng 2023,682K,2 years,"ĐÀ NẴNG, VIỆT NAM: Bạn đang tìm kiếm những điều tuyệt vời nhất để làm ở Đà Nẵng, Việt Nam? Chúng tôi vừa tạo danh sách 17 hoạt ...",2026-01-21 23:15:01.915858
/watch?v=pEiPQIvWkJQ&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@JooseTheNomad,Joose the Nomad,"7 Things I Wish I Knew BEFORE Visiting DA NANG, VIETNAM",155K,9 months,"Watch this before coming to Da Nang, Vietnam! ✈️ Get a Holafly eSIM with 5% off using code 'JOOSETHENOMAD': ...",2026-01-21 23:15:01.917198
