video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=OerAX-zKyvg&list=RDOerAX-zKyvg&start_radio=1&pp=ygUGaGEgbm9poAcB,/channel/UCJwp8w_Ru1q--tCEfrPIA6g,Obito Official,Obito - Hà Nội ft. VSTRA,52M,2 years,"Obito - Hà Nội ft. VSTRA Download/Stream ""Đánh Đổi"" Album: https://Obito.lnk.to/-DD Composer: Obito, VSTRA Music Producer: ...",2026-01-21 23:01:39.705446
/watch?v=u9VswvjJtfI&t=361s&pp=ygUGaGEgbm9p,/@laistahir,Lais,4 Days in Hanoi Vietnam 2026 - A Travel Guide for First-Time Visitors,700K,1 year,"... 00:00 Intro 00:34 Day 1, Hanoi: old quarter, train street, egg coffee, banh mi 06:01 Day 2, Hanoi: coffee, ha long bay, beer street ...",2026-01-21 23:01:39.708150
/watch?v=_agBXGU_DMQ&pp=ygUGaGEgbm9p,/@WhatThePho,What The Pho ,"Best places to visit in Hanoi, Vietnam in 2026",31K,12 days,Get an exclusive 15% discount on Saily data plans! Use code PHO at checkout. Download Saily app or go to https://saily.com/pho ...,2026-01-21 23:01:39.709743
/watch?v=_HTU4Rp95VY&pp=ygUGaGEgbm9p,/@JapanPotato,Japan Potato,Beautiful Hanoi City Vietnam at Night in June 2025 - 4K HDR Walking Tour in 60fps,4.7K,2 months,Join me as we walk through the vibrant streets and hidden alleys of Vietnam's bustling capital Hanoi after dark in June 2025.,2026-01-21 23:01:47.237688
/watch?v=IFJukoWVal8&pp=ygUGaGEgbm9p0gcJCYcKAYcqIYzv,/@heather_diary,Heather's diary,"Hanoi VLOG 🇻🇳 first time in Vietnam | best local food, coffee | relaxing travel",49K,2 months,"Please turn on CC in settings for more subtitles & subscribe to my channel if you like the video :) Hi all, it's my first time in Vietnam ...",2026-01-21 23:01:47.238904
/watch?v=6yKlTn-LBFU&pp=ygUGaGEgbm9p,/@worldwildhearts,World Wild Hearts,"HANOI, VIETNAM | 12 Awesome Things To Do In & Around Hanoi",698K,2 years,"... WITH PLACES TO EAT, DRINK, SEE: https://www.worldwildhearts.com/post/hanoi-vietnam MORE VIETNAM VIDEOS: Ha ...",2026-01-21 23:01:47.240809
/watch?v=1nkQvNu2DGA&pp=ygUGaGEgbm9p,/@LADmob,LADmob,🇻🇳 Hanoi Saturday Night Madness - Crowded Streets and Lively Nightlife | 4K HDR HANOI WALKING TOUR,38K,1 month,This walking tour shows Hanoi at its loudest and most alive on a Saturday night with pure street energy. #Hanoi #Vietnam ...,2026-01-21 23:01:47.242015
/watch?v=6WmiB5vAOTQ&pp=ygUGaGEgbm9p,/@QuangVietTravelExplore,Quang Viet Travel & Explore,Unseen Vietnam | Vibrant Hanoi Night Market & Authentic Street Food Tour,57K,3 months,"Welcome to another journey through Vietnam's vibrant culture! In this video, we explore the famous Hanoi Old Quarter Night ...",2026-01-21 23:01:47.243192
/watch?v=Ai2mJou0T_M&pp=ygUGaGEgbm9p,/@WanderlustWellman,Wanderlust Wellman,"Top 10 Things to Do in Hanoi, Vietnam",22K,2 months,"Here are my top 10 Things to do in Hanoi, Vietnam! Hanoi is the energetic capital of Vietnam and has amazing things to do such ...",2026-01-21 23:01:47.244622
/watch?v=3rKxFMx3CyY&pp=ygUGaGEgbm9p,/@WhatThePho,What The Pho ,What to do in Hanoi for one day,923K,3 years,"Here is the itinerary: 7am: Eat Pho for breakfast Address: 10 Lý Quoc Su, Ha Noi Tip: Best combo: Phở tái chín (rare and cooked ...",2026-01-21 23:01:47.246304
