video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=MgmxV1NqqEs&pp=ygUGc2FpZ29u,/@laistahir,Lais,4 Days in Ho Chi Minh City (Saigon) Vietnam 2026,82K,1 month,vietnam #saigon #hochiminhcity #travel Get an exclusive 15% discount on Saily data plans! Use code LAIS at checkout.,2026-01-21 22:52:44.193209
/watch?v=fRXbG5fulJI&pp=ygUGc2FpZ29u,/@realcoolvision,CoolVision,Is Saigon Vietnam’s Best City? I Didn’t Expect This,486K,7 months,"Let's visit Saigon aka Ho Chi Minh City aka HCMC, Vietnam's largest city. Is this city really underrated? I think so! From the ...",2026-01-21 22:52:44.194975
/watch?v=VyoDm3D4uEE&list=RDVyoDm3D4uEE&start_radio=1&pp=ygUGc2FpZ29uoAcB,/@radial,Radial by The Orchard,Emílio Santiago - Saigon (Ao vivo),15M,7 years,Click here to subscribe: http://bit.ly/1pvfR6o #EmlioSantiago #Saigon.,2026-01-21 22:52:52.309423
/watch?v=Z6pMB3ROYMA&pp=ygUGc2FpZ29u,/@FloraandNote,Flora and Note,Why Everyone Is Obsessed With HO CHI MINH CITY Right Now 🇻🇳,89K,4 days,Head to https://squarespace.com/floraandnote to save 10% off your first purchase of a website or domain using code ...,2026-01-21 22:52:52.312168
/watch?v=PL52DrcI5dY&pp=ygUGc2FpZ29u,/@RenzoMaano,Renzo Maano,Complete 3 Day Travel Guide to Saigon Vietnam,78K,1 year,Join me and @ReanneMendoza as we explore the beautiful city of Ho Chi Minh! This place is much more than just the Cafe ...,2026-01-21 22:52:52.315184
/watch?v=jNIJiHRGh2g&pp=ygUGc2FpZ29u,/@WhatThePho,What The Pho ,20 things to do in Ho Chi Minh City,183K,1 year,Get an exclusive 15% discount on Saily data plans! Use code PHO at checkout. Download Saily app or go to https://saily.com/pho ...,2026-01-21 22:52:52.316473
/watch?v=E0q82-KPa5c&pp=ygUGc2FpZ29u,/@RalphSam,Ralph & Sam,"Ho Chi Minh City Vlog 🇻🇳 Best Food in Saigon + How Much We Spend, Shopping, Vietnam Vlog 2024",198K,1 year,Planning a trip to Vietnam? Here's our guide to Ho Chi Minh City #vietnamtravelvlog Looking for an eSIM? Download #Airalo ...,2026-01-21 22:52:52.319236
/watch?v=Mvsa17OMq-I&pp=ygUGc2FpZ29u,/@IslandHopperTV,Island Hopper TV,Best Things To Do in Ho Chi Minh City Vietnam 4K,787K,2 years,"HO CHI MINH CITY, VIETNAM: In this Ho Chi Minh City travel guide. We show you all around Saigon showing you the best things ...",2026-01-21 22:52:52.321582
/watch?v=lU1DRoQd8sE&pp=ygUGc2FpZ29u,/@joycehysin,Joyce Sin,first time in Ho Chi Minh VIETNAM ~ things to do in Saigon 🇻🇳,101K,9 months,3D2N in Vietnam ☁️ HIGHLIGHTS 0:09 check in 1:07 pho 2:35 market 3:09 street vibes 4:12 museum 5:10 post office 5:52 ...,2026-01-21 22:52:52.323145
/watch?v=1n4Ow2cn6Q4&pp=ygUGc2FpZ29u,/@WhatThePho,What The Pho ,Best things to do in Ho Chi Minh City in 2026,88K,4 months,Get an exclusive 15% discount on Saily data plans! Use code PHO at checkout. Download Saily app or go to https://saily.com/pho ...,2026-01-21 22:52:52.325948
